"King of Killers"	28,53	1024127	"Marcus Garan, ancien tueur à gages de l'agence, tente de percer le mystère d'un incident tragique. Lorsqu'on lui propose un contrat de 10 millions de dollars pour éliminer le plus grand assassin du monde, Marcus se rend à Tokyo pour rencontrer le client, mais découvre que d'autres tueurs professionnels ont également été invités. Marcus et les autres doivent désormais affronter cet assassin mythique et mortel… ou mourir en essayant."	fe5NMpbgZiYIYNpMBKqp9sbQ2Jy.jpg	x5AreOAgkTBzUSL58o4jsYortw2.jpg	tt14057604	91
"Blink Twice"	9648,53	840705	"Lors d'une soirée bénéfice, Frida tombe dans l'oeil de Slater King. Au point où ce milliardaire des technologies, empêtré dans une controverse médiatique, invite la jeune serveuse afro-américaine et sa collègue Jess à séjourner sur son île privée, dans les Caraïbes. Au programme: des journées de farniente autour de la vaste piscine en compagnie d'une dizaine d'autres convives des deux sexes, des repas succulents préparés par un ami de Slater et une provision infinie de drogues récréatives. Mais tandis que les jours passent, Frida et Jess en viennent à soupçonner que derrière le mur des apparences, quelque chose de sinistre se trame."	NqqLef2ITlK8olXT4iFuUXFwSh.jpg	51LUuruLaoe9JXit5hJD3qtpWTm.jpg	tt14858658	103
"Bad Boys: Ride or Die"	28,80,53,35	573435	"Le détective de Miami Mike Lowrey apprend que son ex-supérieur à l'escouade anti-drogue, le défunt capitaine Howard, aurait reçu des centaines de millions de dollars de la part des cartels mexicains. Avec son coéquipier et ami Marcus Burnett, Mike entreprend de blanchir la réputation de Howard. Or, le meurtrier du capitaine, le trafiquant Armando Aretas, est le seul à pouvoir identifier le véritable traître au sein des forces de police de Miami. Et puisque le repenti Armando est également le fils de Mike, ce dernier obtient qu'il soit temporairement libéré de prison pour participer à l'enquête. Mais ce faisant, Marcus, Mike et son fils se retrouvent à leur tour compromis par le chef des conspirateurs, qui lance des chasseurs de primes à leurs trousses."	tncbMvfV0V07UZozXdBEq4Wu9HH.jpg	yOhsdlCx592DPt3RPaYRrM3F64z.jpg	tt4919268	115
"Hijack 1971"	80,28,53	1147710	"Corée du Sud, hiver 1971. Dans l'aéroport de Sokcho, deux pilotes d'aviation civiles prennent l'avion privé pour Gimpo. Peu de temps après le décollage, une bombe improvisée explose, transformant l'avion en chaos, et un pirate de l'air tente de détourner l'avion, menaçant de prendre le contrôle de l'avion vers le nord. ⎯  Premier long métrage du réalisateur, inspiré d'un fait réel sur le détournement du vol F27 de Korean Air en janvier 1971."	1pbV8uC6EUYOYnPqWfrQFPdAj1O.jpg	xGAVdY8td614Qq8sK21XDmzEFIT.jpg	tt31624258	100
"Project Silence"	28,53,27,878	726139	"Le brouillard cause un gigantesque accident sur un pont. Alors que celui-ci menace de s’effondrer, des bêtes inconnues se retrouvent libérées au milieu des survivants."	hPIWQT70wQK6akqfLXByEvr62u0.jpg	cQb0XAyb9hZFiKHGD8KpUtgIaTL.jpg	tt25808194	96
"Hounds of War"	28,53	949484	"Ryder et son équipe d’élite, les Hounds, devront affronter une mission des plus périlleuses en Libye où la guerre bat son plein. Ils devront se faufiler entre les mailles du danger et ne pourront compter que sur leurs aptitudes au combat et leur mental d’acier. Plongez dans ce thriller qui vous tiendra en haleine, où la loyauté et le courage seront mis à rude épreuve."	blqiNjJefmY10Wx6y2vgJJWljJj.jpg	lRBT73EWsiQPuqK3YS3BnBW0Zwi.jpg	tt12972134	94
"Le Robot sauvage"	16,878,10751	1184918	"Un robot fait naufrage sur une île inhabitée. Il s'adapte à son environnement, en nouant progressivement des relations avec les animaux de l'île et en devenant le parent adoptif d'un oison orphelin."	4zlOPT9CrtIX05bBIkYxNZsm5zN.jpg	1T097noOCt8t66HJZP9R1hg8OHV.jpg	tt29623480	102
Joker	80,53,18	475557	"Dans les années 1980, à Gotham City, Arthur Fleck, un humoriste de stand‐up raté, bascule dans la folie et devient le Joker."	gZWl93sf8AxavYpVT1Un6EF3oCj.jpg	tWjJ3ILjsbTwKgXxEv48QAbYZ19.jpg	tt7286456	122
Borderlands	28,878,35	365177	"Lilith, une chasseuse de primes au passé trouble, revient à contrecœur sur sa planète natale, Pandore, la planète la plus chaotique de la galaxie… Sa mission est de retrouver la fille disparue d'Atlas, l'homme le plus puissant (et le plus méprisable) de l’univers. Pour y arriver Lilith va devoir former une alliance inattendue avec une joyeuse équipe de marginaux : Roland, un mercenaire chevronné ; Tiny Tina, une pré-ado avec un gros penchant pour la démolition ; Krieg, le protecteur musclé de Tina ; Tannis, une scientifique fantasque ; et Claptrap, un robot très bavard."	mKOBdgaEFguADkJhfFslY7TYxIh.jpg	8appkqI0VacmcU86QeOUL8v6Xfc.jpg	tt4978420	101
"Transmorphers: Mech Beasts"	28,878	1144962	"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet."	tCKWksaQI8XkAQLVou0AlGab5S6.jpg	oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg	tt28096092	84
Kill	28,80,53,18	1160018	"Dans un train pour New Delhi, une bande de voleurs prend en otage les passagers, sans savoir qu’un homme bien plus redoutable qu’eux est à bord. Quand ils s’en prennent à la femme qu’il aime, Amrit, membre des forces spéciales, répond par une vengeance sans merci."	okVLmXL5y18dfN2R4ufMZEGaeCd.jpg	xj4kJej7Bdfw6EjhEMESU3XY7JI.jpg	tt28259207	105
"À contre-sens"	10749,18	1010581	"Noah doit quitter sa ville, son petit ami et ses amis pour emménager dans le manoir de William Leister, le nouveau et riche mari de sa mère. Âgée de dix-sept ans, fière et indépendante, Noah rencontre Nick, son nouveau demi-frère, et leurs fortes personnalités s’entrechoquent dès le début. Noah découvre bientôt que derrière l'image d'un fils modèle, Nick cache une vie de bagarre, de jeu et de courses automobiles illégales. Malgré l'abîme qui les sépare, tous deux commencent à ressentir une attirance irrésistible qui se transformera bientôt en feu et en folle passion. Ni la rivalité permanente, ni l'opposition de leur entourage ne peuvent les empêcher de tomber secrètement et follement amoureux. Mais le présent turbulent de Nick et le passé orageux de Noah mettront à l'épreuve leur vie et leur amour interdit."	lntyt4OVDbcxA1l7LtwITbrD3FI.jpg	3ZCfSSxZ2e4Kiwu3Y9dvfT5n1m6.jpg	tt21909764	117
"The Convert"	28,18	1066262	"Lorsque le prédicateur laïc Thomas Munro arrive dans une colonie britannique de la Nouvelle-Zélande des années 1830, son passé violent est rapidement remis en question et sa foi mise à l'épreuve, car il se retrouve pris au milieu d'une guerre sanglante entre tribus Māori."	3EIYw4aJImgsvJsb0ybhOzLk6J3.jpg	e5ZqqPlhKstzB4geibpZh38w7Pq.jpg	tt20113412	119
"นักรบมนตรา: ตำนานแปดดวงจันทร์"	16,28,12,14,878	1134424	"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension."	2wrdcWrAN53Pl7ahBWMIKMzXBFF.jpg	mynbrkIAAWw8OVVNAqC75vPwKqg.jpg	tt28959712	90
"In Your Dreams"	10749,35,18	1073125	"Vous connaissez ce sentiment. Votre regard croise celui d'un inconnu et le temps ralentit. C'est ce qui s'est passé avec Pelin et Engin. Sauf que, ô surprise, ils se réveillent dans le même lit. Et, soyez prêt, en tant que couple marié depuis deux ans ! Ce doit être un rêve. Non, un cauchemar. Mais pour se réveiller, ils doivent tomber amoureux."	o9uMF84ZAGBqRxbliFCTgw0vQYv.jpg	zr9Yel6jjlNe1O3xBnrndZDL3nC.jpg	tt21308736	0
